student_id,student_name,study_hours_without_mobile_usage,average_score_percentage
S0930,Student_930,5.3,65
S0931,Student_931,1.5,39
S0932,Student_932,5.0,60
S0933,Student_933,6.7,77
S0934,Student_934,7.1,75
S0935,Student_935,5.9,72
S0936,Student_936,4.2,63
S0937,Student_937,1.0,41
S0938,Student_938,4.4,60
S0939,Student_939,3.4,52
S0940,Student_940,2.9,51
S0941,Student_941,7.9,84
S0942,Student_942,1.3,44
S0943,Student_943,9.1,92
S0944,Student_944,9.9,93
S0945,Student_945,6.8,78
S0946,Student_946,6.8,79
S0947,Student_947,4.9,65
S0948,Student_948,6.8,79
S0949,Student_949,8.2,88
S0950,Student_950,0.6,40
S0951,Student_951,3.7,58
S0952,Student_952,5.6,73
S0953,Student_953,5.4,65
S0954,Student_954,1.4,38
S0955,Student_955,6.1,69
S0956,Student_956,3.2,52
S0957,Student_957,7.2,73
S0958,Student_958,4.3,56
S0959,Student_959,9.3,88
S0960,Student_960,2.6,46
S0961,Student_961,7.9,84
S0962,Student_962,1.3,43
S0963,Student_963,9.9,93
S0964,Student_964,4.1,54
S0965,Student_965,6.0,71
S0966,Student_966,9.1,91
S0967,Student_967,6.2,69
S0968,Student_968,5.2,70
S0969,Student_969,8.6,87
S0970,Student_970,9.9,91
S0971,Student_971,5.8,71
S0972,Student_972,7.6,79
S0973,Student_973,7.5,75
S0974,Student_974,4.5,66
S0975,Student_975,9.6,94
S0976,Student_976,9.9,92
S0977,Student_977,7.8,82
S0978,Student_978,6.9,71
S0979,Student_979,0.9,43
S0980,Student_980,0.7,43
S0981,Student_981,2.5,45
S0982,Student_982,3.3,58
S0983,Student_983,5.0,63
S0984,Student_984,4.4,60
S0985,Student_985,1.9,50
S0986,Student_986,2.1,42
S0987,Student_987,3.3,50
S0988,Student_988,7.8,84
S0989,Student_989,6.4,77
S0990,Student_990,2.4,53
S0991,Student_991,9.7,95
S0992,Student_992,9.4,86
S0993,Student_993,9.0,86
S0994,Student_994,5.4,65
S0995,Student_995,2.5,48
S0996,Student_996,7.2,76
S0997,Student_997,8.6,87
S0998,Student_998,0.6,42
S0999,Student_999,6.2,72
S1000,Student_1000,1.2,41
